trades

TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL
1268518279;19.07.2011;18:44:27;SBER03;EQBR;102,38;4130;422829,4;;B
1268518280;19.07.2011;18:44:27;SBER03;EQBR;102,38;5980;612232,4;;B
1268518281;19.07.2011;18:44:27;SBER03;EQBR;102,39;5070;519117,3;;B
1268518282;19.07.2011;18:44:27;SBER03;EQBR;102,39;8000;819120;;B
1268518283;19.07.2011;18:44:27;SBER03;EQBR;102,39;200;20478;;B
1268518284;19.07.2011;18:44:27;SBER03;EQBR;102,39;70;7167,3;;B
1268518285;19.07.2011;18:44:27;SBER03;EQBR;102,39;500;51195;;B
1268518286;19.07.2011;18:44:27;SBER03;EQBR;102,39;15000;1535850;;B
1268518287;19.07.2011;18:44:27;SBER03;EQBR;102,39;5920;606148,8;;B
1268518288;19.07.2011;18:44:27;PLZL;EQNL;1750;8;14000;;B
1268518289;19.07.2011;18:44:27;AKRN;EQNL;1470,3;3;4410,9;;S
1268518290;19.07.2011;18:44:27;AKRN;EQNL;1470,2;1;1470,2;;S
1268518291;19.07.2011;18:44:27;AKRN;EQNL;1470,2;1;1470,2;;S
1268518292;19.07.2011;18:44:27;AKRN;EQNL;1470,2;5;7351;;S
1268518293;19.07.2011;18:44:27;AKRN;EQNL;1470;74;108780;;S
1268518294;19.07.2011;18:44:27;AKRN;EQNL;1470;20;29400;;S
1268518295;19.07.2011;18:44:27;AKRN;EQNL;1470;6;8820;;S
1268518296;19.07.2011;18:44:27;AKRN;EQNL;1470;20;29400;;S
1268518297;19.07.2011;18:44:28;GAZP;EQNE;199,75;190;37952,5;;S
1268518298;19.07.2011;18:44:28;GAZP;EQNE;199,75;400;79900;;S
1268518299;19.07.2011;18:44:28;URKA;EQBR;266,02;10;2660,2;;B
1268518300;19.07.2011;18:44:28;LKOH;EQBR;1827,1;15;27406,5;;S
1268518301;19.07.2011;18:44:28;LKOH;EQBR;1827,1;15;27406,5;;S
1268518302;19.07.2011;18:44:28;LKOH;EQBR;1827,1;10;18271;;S
1268518303;19.07.2011;18:44:28;CHMF;EQNL;510,2;50;25510;;S
1268518304;19.07.2011;18:44:28;GAZP;EQNE;199,8;50;9990;;B
1268518305;19.07.2011;18:44:28;LNZL;EQNE;5049,7;1;5049,7;;B
1268518306;19.07.2011;18:44:28;LKOH;EQBR;1827,1;1;1827,1;;S
1268518307;19.07.2011;18:44:29;ROSB;EQNL;99,99;20;1999,8;;B
1268518308;19.07.2011;18:44:29;ROSB;EQNL;99,99;10;999,9;;B
1268518309;19.07.2011;18:44:29;ROSB;EQNL;99,99;20;1999,8;;B
1268518310;19.07.2011;18:44:29;ROSB;EQNL;99,99;20;1999,8;;B
1268518311;19.07.2011;18:44:29;ROSB;EQNL;99,99;10;999,9;;B
1268518312;19.07.2011;18:44:29;URKA;EQBR;266,07;100;26607;;B
